id, varRNN, varRL,,Ave RNN,Ave RL
A2YO1U4FV1N5MN,-105.052816,-94.41834685,,,
A2YYITZ8LPNJX1,-118.7445977,-133.5837787,,,
A2YZVS6MBFQQPQ,-98.53399934,-77.02008512,,,
A2Z0DI2L5GV87Y,-86.19055215,-89.50977446,,,
A2Z75NJBZ46RE9,-85.03823859,-77.89369509,,,
A2ZEE0T533JG2X,-104.169398,-100.6133383,,,
A2ZIO0ZTIXOE9J,-76.07544103,-63.65199304,,,
A2ZL0F4X30YNMV,-117.6794272,-139.5995504,,,
A302KOFOYLD89A,-87.30865759,-82.81486938,,,
A30GCTXJ17JC3I,-110.676813,-127.9659344,,,
A30GMGC1ADGYWB,-97.92235927,-81.61836377,,,
A30H28F41UBJGK,-103.9560978,-121.4754686,,,
A30J4IZCMCR31F,-101.0689333,-95.18828516,,,
A30S3NM2G8YALB,-122.6915743,-130.8279758,,,
A30VLIFQPJZ17P,-105.9372729,-99.13307056,,,
A30Z3CWKO1B6R7,-90.99905691,-71.92277472,,,
A31545Y7L2F07S,-79.94164394,-66.14116789,,,
A318574M8Q965P,-116.6564877,-123.0027258,,,
A321WQIFK10UV3,-100.9024407,-99.140817,,,
A327V746DXH6ID,-112.8445981,-101.1679201,,,
A32LHQYJY0ELFS,-98.40468072,-97.38208938,,,
A33XXH6Q66EH34,-78.09159753,-69.87557233,,,
A348UZASXTNGWR,-88.05772984,-95.42027113,,,
A34CPKFZXBX1PO,-83.59047058,-71.76562163,,,
A34CQE6RGU49L7,-75.5747433,-92.46049802,,,
A34XR21XZ4ZPMB,-117.9812353,-126.879035,,,
A35AHB2MZLBEVZ,-94.12729883,-88.1520478,,,
A363NKR14886XG,-82.63951941,-74.41066291,,,
A36EDYMS6VYHW1,-122.7118917,-134.8198673,,,
A36PRTZFECB76C,-100.2559708,-82.56654146,,,
A36YITYE70JBQQ,-93.82336611,-85.82908901,,,
A36ZKMRJCHF2HX,-103.4264795,-88.32419672,,,
A377LTGWJKY2IW,-91.88873843,-73.99851217,,,
A37XA1JSSYORAZ,-79.40449595,-70.00822517,,,
A37Y7BFBED60P0,-71.31227532,-65.45538174,,,
A38038BF5S70T7,-138.451725,-130.1723307,,,
A38RHRTIP0PYNU,-108.6487262,-139.9376801,,,
A39HRVAJ5ISRL7,-83.18691776,-85.78288326,,,
A39K7LI5BVW4K8,-88.67396898,-81.51342473,,,
A39Y2UOHEAD0DT,-83.24988993,-86.2643178,,,
A3A4IN69KE5N7P,-98.36205597,-69.80430145,,,
A3APMO8WXVH1V0,-87.01570581,-73.32512911,,,
A3B6CJ8OHWI4AU,-89.03138403,-83.21198939,,,
A3B9QNYDDXGL9I,-74.4325625,-63.57712225,,,
A3BK3FRTQDW1S,-111.4369473,-130.0717295,,,
